id,claim,domain,structure,label,Topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
20461,Iran’s supreme leader said Israel’s attack should not be exaggerated or downplayed,3,NGC,1,Iran,0.0,0,1,1,4
20268,"A STOLEN ELECTION: State totals minus illegal ballot trafficking numbers give President Trump decisive victories in AZ, GA, MI, PA, and WI.",2,NGC,0,Elections,0.0,1,1,1,4
20390,Israeli Prime Minister Benjamin Netanyahu hospitalized with “serious health issue.,3,NGC,0,Palestine/Isreal,0.0,0,1,1,4
20375,"FBI Director Christopher Wray warns Congress that with the border wide open and a war in Israel, Hamas can just walk right in.""",3,NGC,0,Palestine/Isreal,0.0,0,1,1,4
20052,Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.,1,NGC,0,Vaccines,0.0,0,1,1,4
20336,TRUMP: China gets an advantage from the Trans-Pacific Partnership,2,NGC,0,Global Politics,0.0,1,1,1,4
20155,SHOCKING: Marlboro Adds Puberty Blockers To Cigarettes To Make Them Legal For Kids,1,NGC,0,Sexual/Gender Health,0.0,0,1,1,4
20275,BOMBSHELL: California Has 1.8M More Registered Voters Than it Should,2,NGC,0,Elections,0.0,0,1,1,4
20066,"Natural Immunity to Covid Never Wanes, but Fully Jabbed Are Developing AIDS ",1,NGC,0,Vaccines,0.0,1,1,1,4
20301,"President Joe Biden Rescinds Medal of Freedom given to Trump's campaign manager, Bradley Birkenfeld.",2,NGC,0,Political Figures,0.0,0,1,1,4
20112,"HOW COOL IS THIS?! Scientists have discovered a new way to destroy cancer cells. By stimulating aminocyanine molecules with near-infrared light, cancer cells vibrate in sync, enough to break apart their membranes! These “molecular jackhammers” DESTROYED 99% of cancer cells!",1,NGC,1,Medicine/Public Health,0.0,0,1,1,4
20121,HEALTH EXCLUSIVE: Clinic Funded By Biden Administration Distributes Crack Pipes To Addicts Outside A ‚ÄòSchool‚Äô,1,NGC,0,Medicine/Public Health,0.0,1,1,1,4
20144,The Texas Supreme Court reverses a lower court’s ruling that would’ve allowed a woman to obtain a legal abortion under a medical emergency exception. ,1,NGC,1,Sexual/Gender Health,0.0,0,1,1,4
20473,U.S. strikes Iranian nuclear sites,3,NGC,1,Iran,0.0,0,1,1,4
20326,Greece is one of NATO’s top defense spenders. Here’s why. ,2,NGC,1,Global Politics,0.0,0,1,1,4
20510,Donald Trump violates the Logan Act by resharing 2018 Iran tweet on Truth Social.,3,NGC,0,Iran,0.0,1,1,1,4
20132,Olive oil antioxidant naturally kills all cancer cells tested within an hour,1,NGC,0,Medicine/Public Health,0.0,1,1,1,4
