id,claim,domain,structure,label,Topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
20122,Biden Admin Issues New Masks With Holes In Them So You Can Smoke Your Free Government Crack Pipe,1,NGC,0,Medicine/Public Health,0.0,0,0,0,0
20273,Democrats Reveal BIG CLUE in the BIG STEAL: Operatives Manufactured Votes from Low Income Voters to Steal the Battleground States — Start the Canvassing!,2,NGC,0,Elections,0.0,0,0,0,0
20308,Minnesota Gov. Tim Walz had his stomach pumped after overingesting horse semen.,2,NGC,0,Political Figures,0.0,0,0,0,0
20105,"MILESTONE: US projected to top 2 million new cancer diagnoses in 2024 for first time. While deaths decline, incidence rising for 6 of top 10 cancers including breast, prostate, and pancreatic cancer.",1,NGC,1,Medicine/Public Health,1.0,0,0,0,0
20330," Russians Mint ‘In Trump We Trust’ Coin To Commemorate U.S. Inauguration (IMAGE, VIDEO)",2,NGC,0,Global Politics,0.0,1,0,0,0
20297,"BOMBSHELL: Hunter Biden had 25,000 pics of him torturing and raping children under age 10 in China on his laptop!",2,NGC,0,Political Figures,0.0,0,0,0,0
20191,"NEW: Former President Joe Biden Pardons Michael Byrd, Jan. 6th insurrectionist",2,NGC,0,Jan 6th,0.0,0,0,0,0
20000,People of Color Face Heightened Risks as COVID-19 Surges Again,1,NGC,1,Covid,1.0,0,0,0,0
20113,"REPORT: ""50 per cent of men between the ages of 50 and 60 are likely to have an enlarged prostate, the Prostate Cancer Foundation of Australia (PCFA) estimates. 

Over the age of 70, the proportion reaches 80 per cent.""",1,NGC,1,Medicine/Public Health,1.0,1,0,0,0
20303,SHOCKING: Justin Trudeau’s plane found filled with cocaine as he lands in India for the G20 summit.,2,NGC,0,Political Figures,0.0,0,0,0,0
20014,Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.,1,NGC,1,Covid,1.0,1,0,0,0
20127,CDC Silently Adds  Ivermectin As Essenitial Drug For Viruses,1,NGC,0,Medicine/Public Health,0.0,1,0,0,0
20201,NEW: Trump signs Insurrection Act - General Flynn to be appointed vice president. ,2,NGC,0,Jan 6th,0.0,1,0,0,0
20145,"At least one in six abortions in the U.S., around 14,000 a month, were administered through telemedicine, with clinicians prescribing mail-order abortion pills after online consultations, the first nationwide count of telehealth abortions found. nyti.ms/3UXTSvb",1,NGC,1,Sexual/Gender Health,1.0,0,0,0,0
20019,Fox News wins Pulitzer for coronavirus coverage.,1,NGC,0,Covid,0.0,1,0,0,0
20397,North Korean President Kim Jong Un blames President Joe Biden for the Israel-Hamas war,3,NGC,0,Palestine/Isreal,0.0,0,0,0,0
20337,Ukraine President Volodymyr Zelenskyy blocks Truth Social in Ukraine.,2,NGC,0,Global Politics,0.0,1,0,0,0
20198,"NEW: Donald Trump authorized up to 20,000 National Guard troops to protect the Capitol"" before Jan. 6, 2021, but was ""rejected"" by Nancy Pelosi and Chuck Schumer.",2,NGC,0,Jan 6th,0.0,1,0,0,0
20006,"For some cases of long Covid, a new study suggests serotonin reduction is triggered by remnants of the coronavirus lingering in the gut. Depleted serotonin could especially explain memory problems and some neurological and cognitive symptoms, experts say.",1,NGC,1,Covid,1.0,1,0,0,0
20251,"Texas Democrat calls mail-in ballot fraud the ""great source of voter fraud in this state.""",2,NGC,1,Elections,1.0,1,0,0,0
20495,"US Intelligence Fabricates New Claims to Justify Escalation Against Iran, Officials Say",3,NGC,0,Iran,0.0,1,0,0,0
20234,Update: Van full of illegals caught voting at multiple Alabama polling locations. ,2,NGC,0,Immigration,0.0,1,0,0,0
20045,Consistent evidence supports that COVID-19 vaccination received before SARS-CoV-2 infection reduces the risk of experiencing long COVID,1,NGC,1,Vaccines,1.0,0,0,0,0
20081,Tšilhqot'in Nation at UN calls for help from government to help battle toxic drug crisis ,1,NGC,1,Drug Crisis,1.0,0,0,0,0
20115,New: EPA Approved a Fuel Ingredient Even Though It Could Cause Cancer in Virtually Every Person Exposed Over a Lifetime. An EPA document shows that a new Chevron fuel ingredient has a lifetime cancer risk more than 1 million times higher than what the agency usually finds acceptable.,1,NGC,1,Medicine/Public Health,1.0,1,0,0,0
20139,"Scoop: Republicans are quietly delaying more than $1 billion in planned funding for a life-saving HIV program — demanding changes to terms like abortion, sexual reproductive health, even ""human rights"" in the program’s documents.",1,NGC,1,Sexual/Gender Health,0.0,0,0,0,0
20055,"Second Pfizer Jab Taken Three Weeks After First Increases Myocarditis, Pericarditis Risk Tenfold https://link.theepochtimes.com/mkt_app/second-pfizer-jab-taken-three-weeks-after-first-increases-myocarditis-pericarditis-risk-tenfold_4553134.html",1,NGC,0,Vaccines,1.0,1,0,0,0
20312,"Breaking News: Prime Minister Élisabeth Borne of France resigned ahead of a widely expected cabinet reshuffle by President Emmanuel Macron. She will continue to handle “current affairs” until a new cabinet is appointed, Macron's office said.",2,NGC,1,Global Politics,1.0,0,0,0,0
20373,NEW: King of Denmark waves Palestinian flag from the balcony in support of Palestine.,3,NGC,0,Palestine/Isreal,0.0,1,0,0,0
20332,Germany Admits Trump Was Right on Borders After Taking in One Million Syrian Refugees,2,NGC,0,Global Politics,0.0,1,0,0,0
20239,"Because of omicron, the Biden administration has decided to leave the U.S. southern border completely open.",2,NGC,0,Immigration,0.0,1,0,0,0
20050,"Virginia is among the slowest states in vaccine rollout, Cox says",1,NGC,1,Vaccines,1.0,1,0,0,0
20004,"High Blood Pressure Meds Don't Increase COVID-19 Risks, Study Finds",1,NGC,1,Covid,1.0,1,0,0,0
20192,"Trump: Jan. 6th speech drew 'the same number of people' as the 1963 March wehre Martin Luther King Jr. delivered ""I Have a Dream"" speech. ",2,NGC,0,Jan 6th,0.0,0,0,0,0
20018,Claim that Dr. Anthony Fauci's statement that the coronavirus death rate is 10 times that of the seasonal flu is a claim without any scientific basis.,1,NGC,0,Covid,0.0,0,0,0,0
20329,SWEDEN IS ON BRINK OF COLLAPSE… Gun Purchases Are Way Up…Pepper Spray Selling Out…Muslims Beating Non-Muslims On Streets,2,NGC,0,Global Politics,0.0,1,0,0,0
20056,STUDY: Pfizer's COVID-19 Vaccine DOES Lower Men's Sperm Count. ,1,NGC,0,Vaccines,1.0,1,0,0,0
20388,Benjamin Netanyahu delivers speech to Hamas leaders — thanks them for uniting Israel.,3,NGC,0,Palestine/Isreal,0.0,1,0,0,0
20206,"Vice President Harris Claims Immigration Flow Cut by over half, as of 2024 report.  ",2,NGC,1,Immigration,0.0,0,0,0,0
20189,Trump once called Jan. 6th a 'heinous attack.' Now he calls it a 'day of love.',2,NGC,1,Jan 6th,0.0,0,0,0,0
20334,TRUMP: US trade deficit with China is $1 trillion,2,NGC,0,Global Politics,0.0,0,0,0,0
20094,DEA: Even small amount of fentanyl on skin can cause death,1,NGC,0,Drug Crisis,0.0,0,0,0,0
20130,Miracle: Pfizer Announces They Just So Happened To Finish Monkeypox Vaccine,1,NGC,0,Medicine/Public Health,0.0,1,0,0,0
20129,New Study Links Cancer To Daily Microwave Usage,1,NGC,0,Medicine/Public Health,0.0,1,0,0,0
20074,"The Vietnam War claimed 58,200 American lives in 19 years and six months. In 2016, 64,070 Americans died of an overdose from opioids or heroin -report by Police Executive Research",1,NGC,1,Drug Crisis,1.0,1,0,0,0
20172,"BREAKING: The Supreme Court restores Donald Trump on Colorado's primary ballot, saying the state can't disqualify him over his actions on Jan. 6, 2021.",2,NGC,1,Jan 6th,0.0,1,0,0,0
