id,claim,domain,structure,label,Topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
20220,REPORT: CBP reports record 2.76 million border encounters in fiscal year 2022,2,NGC,1,Immigration,1.0,0,0,0,1
20251,"Texas Democrat calls mail-in ballot fraud the ""great source of voter fraud in this state.""",2,NGC,1,Elections,1.0,1,0,0,1
20125,America's Obesity Crisis Solved as EBT Benefits Run Out,1,NGC,0,Medicine/Public Health,0.0,0,0,0,1
20370,Biden hasn’t signed a recent order sending $8B in aid to Israel. A ‘memo’ circulating online was altered,3,NGC,1,Palestine/Isreal,1.0,0,0,0,1
20012,Donald Trump Says He's Taking Hydroxychloroquine to Prevent Coronavirus in Press Conference,1,NGC,1,Covid,1.0,0,0,0,1
20347,"""Palestinians in Gaza are enduring horrifying levels of hunger and suffering” – UN Secretary-General António Guterres",3,NGC,1,Palestine/Isreal,1.0,0,0,0,1
20258,"Mitch McConnell says ""Joe Biden’s win wasn’t unusually close.""",2,NGC,1,Elections,1.0,1,0,0,1
20052,Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.,1,NGC,0,Vaccines,0.0,1,0,0,1
20403,$100M corruption scandal rocks Ukraine and embroils top Zelenskyy ally,3,NGC,1,Ukraine/Russia,1.0,0,0,0,1
20137,Face masks laced with cancer-causing toxic chemical formaldehyde,1,NGC,0,Medicine/Public Health,0.0,1,0,0,1
20110,"Cancer deaths in the U.S. are falling — with four million deaths prevented since 1991 — according to the American Cancer Society’s annual report, which highlighted declines in smoking, early detection and greatly improved treatments.",1,NGC,1,Medicine/Public Health,1.0,1,0,0,1
20368,Israeli finance minister describes plans to turn Gaza into a 'real estate bonanza' as bombs hammer the enclave,3,NGC,1,Palestine/Isreal,1.0,1,0,0,1
20092,NEW REPORT: Law enforcement personnel deaths from accidental fentanyl overdose surge in 2024. ,1,NGC,0,Drug Crisis,1.0,1,0,0,1
20329,SWEDEN IS ON BRINK OF COLLAPSE… Gun Purchases Are Way Up…Pepper Spray Selling Out…Muslims Beating Non-Muslims On Streets,2,NGC,0,Global Politics,0.0,1,0,0,1
20068,"Pfizer, Moderna Shots More Likely to Cause Serious Injury Than Reduce Risk of COVID-Related Hospitalization ",1,NGC,0,Vaccines,1.0,0,0,0,1
20072,"New report comes after last months CDC report that over 100,000 drug overdose deaths in the US occurred during the first year of the pandemic. Of those deaths a majority (64%) involved synthetic opioids like illicitly manufactured fentanyl.",1,NGC,1,Drug Crisis,1.0,1,0,0,1
20102,"IN ULTRA-LIBERAL OREGON, OVERDOSE RATES SKYROCKET 700% AFTER THE STATE #LEGALIZES POSSESSION OF HARD DRUGS! https://www.theblaze.com/news/-2657458107?utm_source=theblaze-dailyAMandutm_medium=emailandutm_campaign=Daily-Newsletter__AM%202022-06-05andutm_term=ACTIVE%20LIST%20-%20TheBlaze%20Daily%20AM",1,NGC,0,Drug Crisis,0.0,1,0,0,1
20216,"In 2017, Twenty-seven percent of Californians born in a foreign land, data shows. ",2,NGC,1,Immigration,1.0,0,0,0,1
20136,"RFK Jr. outs DARPA, says they are spraying the skies with chemicals that are in jet fuel.",1,NGC,0,Medicine/Public Health,0.0,0,0,0,1
20006,"For some cases of long Covid, a new study suggests serotonin reduction is triggered by remnants of the coronavirus lingering in the gut. Depleted serotonin could especially explain memory problems and some neurological and cognitive symptoms, experts say.",1,NGC,1,Covid,1.0,1,0,0,1
20056,STUDY: Pfizer's COVID-19 Vaccine DOES Lower Men's Sperm Count. ,1,NGC,0,Vaccines,1.0,1,0,0,1
20313,"Portugal's prime minister resigned unexpectedly today, after police arrested his chief of staff on corruption allegations that have also involved a minister.",2,NGC,1,Global Politics,1.0,0,0,0,1
20173,EXCLUSIVE: Trump has a new plan to save himself in a Jan 6 prosecution ... blame the whole thing on his insurrectionist lawyers https://www.rollingstone.com/politics/politics-features/donald-trump-jan6-jack-smith-rudy-giuliani-john-eastman-1234798826/,2,NGC,1,Jan 6th,0.0,1,0,0,1
20060,Bill Gates’ coronavirus vaccine developed by Oxford researchers caused all test subjects to get coronavirus.,1,NGC,0,Vaccines,0.0,0,0,0,1
20187,"I did my duty' Mike Pence gets courage award for certifying election on Jan. 6th, 2021.",2,NGC,1,Jan 6th,1.0,0,0,0,1
20189,Trump once called Jan. 6th a 'heinous attack.' Now he calls it a 'day of love.',2,NGC,1,Jan 6th,1.0,1,0,0,1
20044,"COVID mRNA vaccines do NOT cause cancer or make cancer return. No scientific evidence suggests ANY vaccine causes cancer. In fact, some vaccines (like HPV & Hepatitis B) help prevent cancer.",1,NGC,1,Vaccines,1.0,1,0,0,1
20426,A Ukrainian startup develops long-range drones and missiles capable of striking Russia,3,NGC,1,Ukraine/Russia,1.0,0,0,0,1
20212,"TRUMP: In 2017, Illegal Immeigration on the U.S.-Mexico border is ""the lowest in 17 years.""",2,NGC,1,Immigration,1.0,0,0,0,1
20160,Mattel releases American Girl Doll book urging young girls to take puberty blockers without parental consent,1,NGC,0,Sexual/Gender Health,0.0,0,0,0,1
20386,The U.S. is sending $8 billion worth of military aid to Israel.,3,NGC,0,Palestine/Isreal,1.0,1,0,0,1
20099,New study finds link between open borders and fentanyl drug deaths,1,NGC,0,Drug Crisis,1.0,1,0,0,1
20101,"REPORT: In 2023, more than 105,000  teens died in U.S from fentanyl. ",1,NGC,0,Drug Crisis,1.0,0,0,0,1
20005,Levels of SARS-CoV-2 RNA in Sewage Rose With COVID-19 Cases in Dutch Cities,1,NGC,1,Covid,1.0,1,0,0,1
20083,"Trump administration blames Canada, specifically Vancouver, for role in U.S drug crisis",1,NGC,1,Drug Crisis,1.0,1,0,0,1
20138,"Last November, the NYT printed a very long story raising fears that puberty blockers could have lifelong impacts on bone health. A year and 20 gender-affirming care bans later, research finds these concerns were largely unfounded.",1,NGC,1,Sexual/Gender Health,1.0,1,0,0,1
20080,"As drug use rises, so does syphilis: Report. ",1,NGC,1,Drug Crisis,1.0,0,0,0,1
20155,SHOCKING: Marlboro Adds Puberty Blockers To Cigarettes To Make Them Legal For Kids,1,NGC,0,Sexual/Gender Health,0.0,1,0,0,1
20399,REAKING: PM NETANYAHU HOSPITALISED. He suffered serious health issue in Kiryah and has been shifted to a hospital in Tel Aviv. Officials blame stress from Hamas attacks.,3,NGC,0,Palestine/Isreal,0.0,1,0,0,1
20151,BREAKING: PP Pauses Emergency Funding for Abortion Acecess,1,NGC,1,Sexual/Gender Health,1.0,1,0,0,1
20079,"US drug overdose deaths saw an unprecedented drop in 2024, but federal cuts could threaten momentum ",1,NGC,1,Drug Crisis,0.0,0,0,0,1
20042,Myocarditis risk after COVID infection exceeds post-vaccine risk.,1,NGC,1,Vaccines,1.0,0,0,0,1
20067,The second COVID booster has eight strains of HIV.,1,NGC,0,Vaccines,0.0,1,0,0,1
20270,MUST WATCH: Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours after deadline.,2,NGC,0,Elections,0.0,1,0,0,1
20186,"January 6th insurrection caused more than $2.5m in damage, per report. ",2,NGC,1,Jan 6th,1.0,1,0,0,1
20127,CDC Silently Adds  Ivermectin As Essenitial Drug For Viruses,1,NGC,0,Medicine/Public Health,0.0,1,0,0,1
20131,Apricot Seeds Kill Cancer Cells without Side Effects,1,NGC,0,Medicine/Public Health,0.0,1,0,0,1
20171,FDA: Prenatal exposure to SSRI increases preterm birth risk,1,NGC,0,Sexual/Gender Health,1.0,1,0,0,1
20091,"Millions of Teens die in 2024 from Fentanyl, new US data shows.",1,NGC,0,Drug Crisis,0.0,1,0,0,1
20116,"The number of cases of cervical cancer reported in Scotland among women given the HPV vaccine at 12-13 years of age is now zero. A remarkable achievement. 

www.bbc.com/news/article...",1,NGC,1,Medicine/Public Health,1.0,1,0,0,1
20024,BREAKING: CDC admits to lying about COVID-19 death stats.,1,NGC,0,Covid,0.0,0,0,0,1
20375,"FBI Director Christopher Wray warns Congress that with the border wide open and a war in Israel, Hamas can just walk right in.""",3,NGC,0,Palestine/Isreal,0.0,1,0,0,1
20009,Studies indicate COPD and Smoking Associated With Higher COVID-19 Mortality,1,NGC,1,Covid,1.0,1,0,0,1
20124,"Pfizer Releases Brand New, Never-Before-Seen Drug 'Pfivermectin'",1,NGC,0,Medicine/Public Health,0.0,1,0,0,1
20074,"The Vietnam War claimed 58,200 American lives in 19 years and six months. In 2016, 64,070 Americans died of an overdose from opioids or heroin -report by Police Executive Research",1,NGC,1,Drug Crisis,1.0,1,0,0,1
20168,"Planned Parenthood selling “viable nonanomalous” fetuses to University of California, San Diego for experimentation",1,NGC,0,Sexual/Gender Health,0.0,1,0,0,1
20276,"In comments from 2024, 2017 and 2012, Republican U.S. Senate candidate Eric Hovde said he wants to repeal the Affordable Care Act",2,NGC,1,Political Figures,1.0,1,0,0,1
20081,Tšilhqot'in Nation at UN calls for help from government to help battle toxic drug crisis ,1,NGC,1,Drug Crisis,1.0,0,0,0,1
20323,Turkey says two-state solution is most realistic option for Cyprus,2,NGC,1,Global Politics,1.0,1,0,0,1
20412,‘Absolutely unacceptable’: Zelenskyy condemns corruption in energy sector targeted by Russia,3,NGC,1,Ukraine/Russia,1.0,0,0,0,1
20014,Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.,1,NGC,1,Covid,1.0,0,0,0,1
20046,GAME CHANGER: Multiple studies prove COVID vaccination BEFORE infection significantly reduces Long COVID risk.,1,NGC,1,Vaccines,1.0,1,0,0,1
20069,"U.S. opioid overdose deaths have quadrupled in the last two decades, and the highest rates are in eight Eastern states, a new study shows. Those states are Connecticut, Illinois, Indiana, Massachusetts, Maryland, Maine, New Hampshire and Ohio. The current wave is associated",1,NGC,1,Drug Crisis,1.0,1,0,0,1
20515,"The Biden administration granted Iran $10 billion in sanctions relief days after Donald Trump won the 2024 U.S. presidential election, government report sows. ",3,NGC,0,Iran,0.0,1,0,0,1
20480,"U.S. to deport hundreds of Iranians held on immigration charges, Tehran says",3,NGC,1,Iran,1.0,0,0,0,1
20089,Small Amount of Fentanyl on Skin Lethal: Report.,1,NGC,0,Drug Crisis,1.0,1,0,0,1
20223,BREAKING: Court orders Trump administration to fully restore DACA program,2,NGC,1,Immigration,1.0,0,0,0,1
20122,Biden Admin Issues New Masks With Holes In Them So You Can Smoke Your Free Government Crack Pipe,1,NGC,0,Medicine/Public Health,0.0,0,0,0,1
20255,"US minorities surpassed 25 percent of electorate when Obama ran in 2008, and it's going up.",2,NGC,1,Elections,1.0,0,0,0,1
20201,NEW: Trump signs Insurrection Act - General Flynn to be appointed vice president. ,2,NGC,0,Jan 6th,0.0,1,0,0,1
20112,"HOW COOL IS THIS?! Scientists have discovered a new way to destroy cancer cells. By stimulating aminocyanine molecules with near-infrared light, cancer cells vibrate in sync, enough to break apart their membranes! These “molecular jackhammers” DESTROYED 99% of cancer cells!",1,NGC,1,Medicine/Public Health,0.0,1,0,0,1
